index,included_in_day_scoring,type,planet,planet_clean,target_planet,target_planet_clean,aspect_type,orb,strength,house,sign,technique,technique_family,delta_kind,phase,daily_salience
53,True,aspect,Transit_Saturn,Saturn,Neptune,Neptune,trine,6.3737025034485555,0.20328718706893056,,,,,background,background,0.11180795288791182
54,True,aspect,Transit_Saturn,Saturn,Pluto,Pluto,opposition,7.859802503448577,0.017524687068927847,,,,,background,background,0.009638577887910317
55,True,aspect,Transit_Uranus,Uranus,Moon,Moon,sextile,3.4977468384888937,0.41704219358518435,,,,,background,background,0.22937320647185142
56,True,aspect,Transit_Uranus,Uranus,Venus,Venus,trine,3.753553161511107,0.5308058548111116,,,,,background,background,0.2919432201461114
57,True,aspect,Transit_Uranus,Uranus,Jupiter,Jupiter,trine,3.4257531615111105,0.5717808548111112,,,,,background,background,0.31447947014611116
58,True,aspect,Transit_Uranus,Uranus,Saturn,Saturn,trine,0.6458468384889073,0.9192691451888866,,,,,background,background,0.5055980298538877
59,True,aspect,Transit_Neptune,Neptune,Moon,Moon,trine,3.1441571730399005,0.6069803533700124,,,,,background,background,0.33383919435350684
60,True,aspect,Transit_Neptune,Neptune,Venus,Venus,opposition,4.107142826960114,0.4866071466299857,,,,,background,background,0.26763393064649216
61,True,aspect,Transit_Neptune,Neptune,Jupiter,Jupiter,opposition,3.779342826960118,0.5275821466299853,,,,,background,background,0.2901701806464919
62,True,aspect,Transit_Neptune,Neptune,Saturn,Saturn,opposition,0.29225717303989995,0.9634678533700125,,,,,background,background,0.5299073193535069
63,True,aspect,Transit_Pluto,Pluto,Sun,Sun,square,2.7033366837014228,0.613809045185511,,,,,background,background,0.3375949748520311
64,True,aspect,Transit_Pluto,Pluto,Moon,Moon,opposition,2.842836683701421,0.6446454145373224,,,,,background,background,0.3545549779955273
65,True,aspect,Transit_Pluto,Pluto,Venus,Venus,trine,4.408463316298594,0.4489420854626758,,,,,background,background,0.2469181470044717
66,True,aspect,Transit_Pluto,Pluto,Jupiter,Jupiter,trine,4.0806633162985975,0.4899170854626753,,,,,background,background,0.26945439700447144
67,True,aspect,Transit_Pluto,Pluto,Saturn,Saturn,trine,0.009063316298579593,0.9988670854626776,,,,,background,background,0.5493768970044727
68,True,planet_in_house,Transit_Sun,Sun,,,,,1.0,1,Cancer,,,background,background,0.55
69,True,planet_in_house,Transit_Moon,Moon,,,,,1.0,10,Aries,,,background,background,0.55
70,True,planet_in_house,Transit_Mercury,Mercury,,,,,1.0,1,Cancer,,,background,background,0.55
71,True,planet_in_house,Transit_Venus,Venus,,,,,1.0,2,Leo,,,background,background,0.55
72,True,planet_in_house,Transit_Mars,Mars,,,,,1.0,12,Gemini,,,background,background,0.55
73,True,planet_in_house,Transit_Jupiter,Jupiter,,,,,1.0,2,Leo,,,background,background,0.55
74,True,planet_in_house,Transit_Saturn,Saturn,,,,,1.0,10,Aries,,,background,background,0.55
75,True,planet_in_house,Transit_Uranus,Uranus,,,,,1.0,12,Gemini,,,background,background,0.55
76,True,planet_in_house,Transit_Neptune,Neptune,,,,,1.0,10,Aries,,,background,background,0.55
77,True,planet_in_house,Transit_Pluto,Pluto,,,,,1.0,8,Aquarius,,,background,background,0.55
