activation_id,active,technique,technique_family,target_type,target_key,strength,polarity,mapped_sphere,mapping_reason,target_weight,family_weight,polarity_modifier,expected_amount,status
t2n__JUPITER__CONJUNCTION__MOON,True,transit_to_natal,transit,planet,MOON,0.274,mixed,thinking_speech_learning,planet MOON found in spheres.thinking_speech_learning.planets,0.3,1.0,0.85,0.0699,mapped
t2n__JUPITER__CONJUNCTION__MOON,True,transit_to_natal,transit,planet,MOON,0.274,mixed,relationships_partnership,planet MOON found in spheres.relationships_partnership.planets,0.6,1.0,0.85,0.1397,mapped
t2n__JUPITER__CONJUNCTION__MOON,True,transit_to_natal,transit,planet,MOON,0.274,mixed,body_energy_health,planet MOON found in spheres.body_energy_health.planets,0.6,1.0,0.85,0.1397,mapped
t2n__JUPITER__CONJUNCTION__MOON,True,transit_to_natal,transit,planet,MOON,0.274,mixed,home_family_roots,planet MOON found in spheres.home_family_roots.planets,1.0,1.0,0.85,0.2329,mapped
t2n__JUPITER__CONJUNCTION__MOON,True,transit_to_natal,transit,planet,MOON,0.274,mixed,inner_background_unconscious,planet MOON found in spheres.inner_background_unconscious.planets,0.6,1.0,0.85,0.1397,mapped
t2n__JUPITER__SEXTILE__VENUS,True,transit_to_natal,transit,planet,VENUS,0.4177,supportive,relationships_partnership,planet VENUS found in spheres.relationships_partnership.planets,1.0,1.0,1.0,0.4177,mapped
t2n__JUPITER__SEXTILE__VENUS,True,transit_to_natal,transit,planet,VENUS,0.4177,supportive,money_security_resources,planet VENUS found in spheres.money_security_resources.planets,0.8,1.0,1.0,0.3342,mapped
t2n__JUPITER__SEXTILE__VENUS,True,transit_to_natal,transit,planet,VENUS,0.4177,supportive,home_family_roots,planet VENUS found in spheres.home_family_roots.planets,0.4,1.0,1.0,0.1671,mapped
t2n__JUPITER__SESQUI_QUADRATE__MARS,True,transit_to_natal,transit,planet,MARS,0.1284,tense,work_status_achievement,planet MARS found in spheres.work_status_achievement.planets,0.6,1.0,1.0,0.077,mapped
t2n__JUPITER__SESQUI_QUADRATE__MARS,True,transit_to_natal,transit,planet,MARS,0.1284,tense,relationships_partnership,planet MARS found in spheres.relationships_partnership.planets,0.4,1.0,1.0,0.0514,mapped
t2n__JUPITER__SESQUI_QUADRATE__MARS,True,transit_to_natal,transit,planet,MARS,0.1284,tense,body_energy_health,planet MARS found in spheres.body_energy_health.planets,1.0,1.0,1.0,0.1284,mapped
